City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Sambava,MG,74.73,scattered clouds,-14.27,50.17,Melrose
324,Talcahuano,CL,51.8,clear sky,-36.72,-73.12,Hotel Terramar
325,Oktyabrskoye,RU,39.2,broken clouds,43.06,44.74,Prolesok Mini-hotel
327,Uige,AO,65.43,overcast clouds,-7.61,15.06,Juliao Pereira
329,Dalvik,IS,30.2,overcast clouds,65.97,-18.53,Dalvík HI Hostel
330,Tortosa,ES,59.0,clear sky,40.81,0.52,Parador de Tortosa
331,Bereda,ES,51.01,scattered clouds,43.27,-7.54,Pazo de Verdes
333,Benguela,AO,70.36,broken clouds,-12.58,13.41,Hotel Praia Morena
334,Maldonado,UY,48.2,few clouds,-34.67,-54.92,La Cimarrona
335,Korsakovo,RU,47.77,overcast clouds,53.27,37.36,
337,Jalu,LY,63.32,clear sky,29.03,21.55,Jalu Hotel
338,Fatsa,TR,68.0,scattered clouds,41.03,37.5,Yalcin Resort Hotel
339,Vila Franca Do Campo,PT,68.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
340,Mladenovac,RS,51.8,clear sky,44.44,20.7,Motel Konak Aleksandar
341,Sidi Ali,DZ,65.77,overcast clouds,36.1,0.42,
342,Moissala,TD,70.93,broken clouds,8.34,17.77,
343,Volodarskiy,RU,48.2,clear sky,46.4,48.54,Каржик
344,Shahr-E Babak,IR,43.65,clear sky,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
345,Krasnoselkup,RU,17.65,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
346,Beyneu,KZ,41.63,clear sky,45.32,55.2,NUR
347,Shache,CN,55.83,overcast clouds,38.42,77.24,Delong Hotel
348,Beisfjord,NO,41.0,overcast clouds,68.38,17.6,
349,Tarko-Sale,RU,28.38,overcast clouds,64.92,77.78,Yubileynaya
350,Buraydah,SA,62.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
351,Olafsvik,IS,45.34,heavy intensity rain,64.89,-23.71,Hotel Olafsvik
352,Paramonga,PE,62.44,clear sky,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
353,Malanje,AO,62.83,overcast clouds,-9.54,16.34,Malanje Hotel
354,Marienburg,PL,43.0,broken clouds,54.04,19.03,Hotel Centrum Malbork
355,Plymouth,US,66.99,clear sky,41.83,-70.83,Rodeway Inn Middleboro-Plymouth
357,Kifri,IQ,69.44,clear sky,34.7,44.97,میزان کفری
359,Gurupi,BR,73.96,light rain,-11.73,-49.07,Via Norte Hotel
360,Ancud,CL,45.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
361,Mayachnyy,RU,38.39,overcast clouds,52.68,55.69,
362,Margate,GB,48.0,scattered clouds,51.38,1.39,Premier Inn Margate hotel
363,Saint-Joseph,RE,71.01,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
364,Balykshi,KZ,44.6,clear sky,47.07,51.87,Гостиница Golden Rose
365,Sao Desiderio,BR,70.25,broken clouds,-12.36,-44.97,Pousada do Luizão
366,Labytnangi,RU,37.92,overcast clouds,66.66,66.42,Priuralye Hotel
367,Fredonia,US,62.6,overcast clouds,42.44,-79.33,Best Western Dunkirk & Fredonia Inn
368,Alma,CA,41.0,broken clouds,48.55,-71.65,Hotel Universel
369,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
370,Valparaiso,CL,57.2,clear sky,-33.04,-71.63,Hotel Ultramar
376,San Luis,AR,55.85,clear sky,-33.3,-66.34,Huarpes Hotel
379,Otukpo,NG,71.73,light rain,7.19,8.13,Amb Resort and Gardens
380,Kibaya,TZ,57.85,clear sky,-5.3,36.57,Lusaka Hotel
381,San Javier,ES,66.0,scattered clouds,37.81,-0.84,Hotel Mar Menor
383,Ramhormoz,IR,64.4,clear sky,31.28,49.6,فروشگاه مطورعلیان
384,Doka,SD,70.92,clear sky,13.52,35.77,
385,Mattru,SL,73.4,overcast clouds,7.62,-11.83,Boima Gbondo's Compound
386,Havelock,US,73.99,broken clouds,34.88,-76.9,Sherwood Motel
390,Bonavista,CA,50.0,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
392,Tchollire,CM,69.87,light rain,8.4,14.17,"Auberge ""l'amicale"""
393,Midyat,TR,50.0,clear sky,37.42,41.34,Hotel Kasr-i Nehroz
394,Pyshchug,RU,45.81,overcast clouds,58.89,45.71,
395,Gat,IL,73.0,clear sky,31.61,34.76,OlusHome
396,Gitarama,RW,64.4,few clouds,-2.07,29.76,Muhanga in Cyakabiri Motel
398,Laguna,US,69.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
399,Ovalle,CL,59.29,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
401,Asyut,EG,73.4,clear sky,27.18,31.18,Florence Hotel Assiut
402,Bam,IR,58.33,clear sky,29.11,58.36,Bam Tourist Hotel
404,Saint-Michel-Des-Saints,CA,38.3,broken clouds,46.68,-73.92,Motel Du Mont trinity
405,Nuuk,GL,37.4,overcast clouds,64.18,-51.72,Vandrehuset
407,Necochea,AR,51.01,moderate rain,-38.55,-58.74,dyd -mar Hotel
410,Abu Kamal,SY,65.61,clear sky,34.45,40.92,محطة التلفاز
412,Havre-Saint-Pierre,CA,37.4,mist,50.23,-63.6,Auberge Niapiskau
413,Lowestoft,GB,46.0,clear sky,52.48,1.75,Premier Inn Lowestoft hotel
414,Le Port,RE,71.6,clear sky,-20.94,55.29,Villa Maido
415,Qobustan,AZ,57.2,clear sky,40.08,49.41,
416,Pryazha,RU,44.6,overcast clouds,61.69,33.62,Guest house VIRTA
417,Nalut,LY,72.18,scattered clouds,30.33,10.85,
419,Pishin,PK,56.5,clear sky,30.58,67.0,Iqra Printing Press
420,Raga,SS,70.05,overcast clouds,8.46,25.68,
421,Faratsiho,MG,60.55,few clouds,-19.4,46.95,LAVILLA FARATSIHO
423,Carballo,ES,54.0,broken clouds,43.21,-8.69,Pazo do Souto
424,Valenca,BR,73.24,few clouds,-13.37,-39.07,Hotel Galeão
425,George,ZA,46.4,few clouds,-33.96,22.46,Protea Hotel by Marriott George King George
426,Shelburne,CA,51.8,broken clouds,44.08,-80.2,The Retreat at the Farm
427,Salta,AR,64.4,clear sky,-24.79,-65.41,Hotel Alejandro I
428,Ravar,IR,50.04,clear sky,31.27,56.81,computertik
432,Nizhnevartovsk,RU,32.0,broken clouds,60.93,76.55,Gostinichnyy Kompleks Samotlor
433,Rio Gallegos,AR,53.6,overcast clouds,-51.62,-69.22,Hotel Santa Cruz
436,Brae,GB,46.4,few clouds,60.4,-1.35,Busta House Hotel
439,Peniche,PT,60.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
440,Chapais,CA,32.0,light snow,49.78,-74.85,Hôtel Opémiska
442,Yanaul,RU,45.68,overcast clouds,56.27,54.93,Kama
444,Szydlowiec,PL,53.01,overcast clouds,51.23,20.86,Hotel Oleńka
445,Asfi,MA,66.6,clear sky,32.3,-9.24,Hôtel Abda
446,Salym,RU,40.95,light rain,60.06,71.48,Shinomontazh
447,Witu,KE,73.4,clear sky,-2.39,40.44,New City Guest House
449,Gazojak,TM,43.45,clear sky,41.19,61.4,
450,Qaqortoq,GL,41.0,light rain,60.72,-46.03,Hotel Qaqortoq
452,Rokytne,UA,52.29,overcast clouds,51.28,27.21,Затишок
453,Balma,FR,50.0,scattered clouds,43.61,1.5,Aparthotel Adagio Toulouse Centre Ramblas
454,Fredericton,CA,57.99,heavy intensity rain,45.95,-66.67,Crowne Plaza Fredericton-Lord Beaverbrook
458,Saint-Pierre,RE,71.6,clear sky,-21.34,55.48,Lindsey Hôtel
460,Atbasar,KZ,44.64,overcast clouds,51.8,68.33,"The Ritz-Carlton, Astana"
461,Kathmandu,NP,69.8,few clouds,27.72,85.32,Hotel Shanker Kathmandu
462,Guasdualito,VE,74.23,light rain,7.24,-70.73,Hotel Cuibas
