city_id,city,country,date,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
218,Safi,MA,2020-10-10 18:41:22,32.3,-9.24,69.78,81,0,11.34,clear sky
219,Chumikan,RU,2020-10-10 18:41:23,54.72,135.31,42.87,87,100,5.03,light rain
220,Zhuhai,CN,2020-10-10 18:41:23,22.28,113.57,78.8,78,20,9.17,light rain
221,Keta,GH,2020-10-10 18:41:23,5.92,0.99,78.8,88,20,9.17,few clouds
222,Wakuya,JP,2020-10-10 18:41:23,38.53,141.13,62.2,96,100,5.48,light rain
223,Mali,GN,2020-10-10 18:41:23,12.08,-12.3,63.16,100,28,1.95,scattered clouds
224,Qaanaaq,GL,2020-10-10 18:41:24,77.48,-69.36,28.76,84,100,9.51,overcast clouds
225,Vanavara,RU,2020-10-10 18:41:24,60.34,102.28,26.22,98,100,2.53,light snow
226,Kruisfontein,ZA,2020-10-10 18:41:24,-34.0,24.73,50.0,93,5,5.32,clear sky
227,Burnie,AU,2020-10-10 18:41:25,-41.07,145.92,46.0,74,9,3.0,clear sky
228,Vila Velha,BR,2020-10-10 18:41:25,-20.33,-40.29,78.8,83,90,12.75,overcast clouds
229,Yozgat Province,TR,2020-10-10 18:41:25,39.58,35.33,60.57,41,0,0.85,clear sky
230,Nanchang,CN,2020-10-10 18:38:42,28.68,115.88,64.26,82,0,5.64,light rain
231,Aktash,RU,2020-10-10 18:41:26,50.3,87.73,15.76,90,57,3.2,broken clouds
232,Srednekolymsk,RU,2020-10-10 18:41:26,67.45,153.68,22.73,93,8,5.91,clear sky
233,Sakaiminato,JP,2020-10-10 18:41:26,35.55,133.23,68.0,82,75,4.7,broken clouds
234,Vrangel',RU,2020-10-10 18:41:26,42.73,133.08,51.46,75,0,4.5,clear sky
235,Arrondissement de Brive-la-Gaillarde,FR,2020-10-10 18:41:27,45.25,1.5,48.0,39,0,3.15,clear sky
236,Waipawa,NZ,2020-10-10 18:37:59,-41.41,175.52,55.4,66,100,21.92,light rain
237,Rawson,AR,2020-10-10 18:40:46,-43.3,-65.1,59.36,56,98,17.4,overcast clouds
238,Salisbury,US,2020-10-10 18:36:49,35.67,-80.47,68.0,93,90,4.7,mist
239,Busselton,AU,2020-10-10 18:41:27,-33.65,115.33,51.01,78,0,7.83,clear sky
240,Wattegama,LK,2020-10-10 18:41:28,6.8,81.48,78.8,88,40,5.82,scattered clouds
241,Sisimiut,GL,2020-10-10 18:41:28,66.94,-53.67,42.84,62,0,10.58,clear sky
242,Hendek,TR,2020-10-10 18:41:28,40.8,30.75,55.4,100,100,2.24,overcast clouds
243,Churapcha,RU,2020-10-10 18:41:28,62.0,132.43,30.78,95,100,5.91,overcast clouds
244,Denizli Province,TR,2020-10-10 18:41:29,37.84,29.07,60.8,63,0,8.05,clear sky
245,Clyde River,CA,2020-10-10 18:41:29,70.47,-68.59,32.0,94,90,35.57,overcast clouds
246,Byron Bay,AU,2020-10-10 18:41:29,-28.65,153.62,55.0,100,0,6.44,clear sky
247,Tasiilaq,GL,2020-10-10 18:41:29,65.61,-37.64,34.34,94,100,35.99,overcast clouds
248,Upernavik,GL,2020-10-10 18:41:30,72.79,-56.15,40.03,66,87,5.99,overcast clouds
249,Marrakesh,MA,2020-10-10 18:38:30,31.63,-8.01,89.6,24,40,8.05,scattered clouds
250,Praya,ID,2020-10-10 18:41:30,-8.71,116.27,77.0,94,75,2.68,broken clouds
251,Methóni,GR,2020-10-10 18:41:31,36.82,21.7,70.0,72,20,4.7,few clouds
252,Leningradskiy,RU,2020-10-10 18:41:31,69.38,178.42,32.02,98,100,19.39,overcast clouds
253,Kloulklubed,PW,2020-10-10 18:41:31,7.04,134.26,78.8,88,90,10.29,moderate rain
254,Ilula,TZ,2020-10-10 18:41:31,-7.68,36.04,71.6,60,40,6.93,scattered clouds
255,Río Gallegos,AR,2020-10-10 18:41:32,-51.62,-69.22,64.4,13,40,25.28,scattered clouds
256,Chilakalūrupet,IN,2020-10-10 18:41:32,16.08,80.17,77.25,93,100,4.59,light rain
257,Polessk,RU,2020-10-10 18:41:32,54.86,21.1,55.4,93,75,6.71,broken clouds
258,Turzovka,SK,2020-10-10 18:39:17,49.4,18.62,55.4,93,82,2.24,broken clouds
