City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Morondava,MG,-20.28,44.28,72.46,85,0,5.73,clear sky
339,Andenes,NO,69.31,16.12,46.4,81,99,10.29,overcast clouds
340,Ghatsila,IN,22.6,86.48,78.8,94,75,1.1,haze
341,Takoradi,GH,4.88,-1.76,75.78,90,70,10.47,broken clouds
342,Ubinskoye,RU,55.31,79.68,39.58,96,100,8.68,light rain
343,San Cristobal,VE,7.77,-72.22,66.27,92,98,2.55,moderate rain
344,Tver,RU,56.86,35.89,50.72,93,95,4.94,overcast clouds
345,Coihaique,CL,-45.58,-72.07,46.4,61,56,2.24,broken clouds
346,Raudeberg,NO,61.99,5.14,50.0,88,97,24.36,light rain
347,Port Blair,IN,11.67,92.75,81.1,82,100,16.55,moderate rain
348,Ilhabela,BR,-23.78,-45.36,65.46,75,23,2.37,few clouds
349,Cap-Aux-Meules,CA,47.38,-61.86,57.2,82,75,21.92,moderate rain
350,Kharakvasla,IN,18.43,73.77,67.91,81,100,6.82,light rain
351,Villacarrillo,ES,38.12,-3.08,62.01,60,0,1.81,clear sky
352,Hobyo,SO,5.35,48.53,78.75,87,5,11.16,clear sky
353,Onda,ES,39.97,-0.25,66.0,76,40,4.7,scattered clouds
354,Starotimoshkino,RU,53.72,47.53,42.49,61,94,7.56,overcast clouds
355,Najran,SA,17.49,44.13,66.2,39,0,2.01,clear sky
356,Capari,MK,41.06,21.18,51.19,84,99,3.58,overcast clouds
357,Viedma,AR,-40.81,-63.0,51.01,88,100,1.01,overcast clouds
358,Oropesa,PE,-13.59,-71.77,53.04,58,30,5.01,scattered clouds
359,Abu Dhabi,AE,24.47,54.37,86.0,55,0,5.82,clear sky
360,Rust,DE,48.27,7.73,42.01,91,1,4.23,clear sky
361,Grootfontein,NA,-19.57,18.12,59.38,33,0,13.4,clear sky
362,Visby,SE,57.64,18.3,51.01,93,14,5.82,few clouds
363,Kilinochchi,LK,9.4,80.4,82.94,71,100,14.52,light rain
364,Guanica,PR,17.97,-66.91,78.01,92,98,5.84,overcast clouds
365,Saint-Augustin,CA,51.23,-58.65,45.7,97,100,8.34,light rain
366,Esna,EG,25.29,32.55,78.8,47,0,6.6,clear sky
367,Kongolo,CD,-5.38,27.0,70.0,85,88,1.52,overcast clouds
368,Montepuez,MZ,-13.13,39.0,66.2,98,2,3.11,clear sky
369,San Bartolome De Tirajana,ES,27.92,-15.57,71.6,73,20,20.8,few clouds
370,Langen,DE,49.99,8.67,48.99,87,64,5.82,broken clouds
371,Geraldton,AU,-28.77,114.6,69.8,64,75,14.99,broken clouds
372,Conceicao Do Araguaia,BR,-8.26,-49.26,79.45,65,100,5.35,light rain
373,Gatehouse Of Fleet,GB,54.88,-4.18,42.01,91,0,9.15,clear sky
374,Khomeyn,IR,33.64,50.08,43.88,60,0,2.04,clear sky
375,Praia Da Vitoria,PT,38.73,-27.07,68.0,88,75,9.64,broken clouds
376,Antsohihy,MG,-14.88,47.99,76.03,78,5,2.51,clear sky
377,Kangaba,ML,11.93,-8.42,75.06,74,80,1.25,broken clouds
378,Kathu,TH,7.92,98.33,82.4,83,40,12.75,light rain
379,Quatre Cocos,MU,-20.21,57.76,73.0,94,40,3.36,shower rain
380,Bilma,NE,18.69,12.92,81.39,16,0,11.79,clear sky
381,Puerto Suarez,BO,-18.95,-57.8,84.16,35,1,0.96,clear sky
382,Nadym,RU,65.53,72.52,32.79,95,100,16.98,light rain
383,Bereda,ES,43.27,-7.54,52.0,92,28,10.0,scattered clouds
384,Nizhnevartovsk,RU,60.93,76.55,32.0,95,75,8.95,broken clouds
385,Cap Malheureux,MU,-19.98,57.61,73.0,87,1,1.01,clear sky
386,Bath,GB,51.38,-2.36,51.01,93,0,1.01,clear sky
387,Necochea,AR,-38.55,-58.74,51.01,90,100,8.01,light rain
388,Energetik,RU,51.74,58.79,39.51,63,99,8.14,overcast clouds
389,Maniitsoq,GL,65.42,-52.9,39.67,82,100,2.3,overcast clouds
390,Bengkulu,ID,-3.8,102.27,74.98,95,100,11.16,heavy intensity rain
